,cityName,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
0,punta arenas,75,CL,1545861600,58,-53.16,-70.91,12.0,7.7
1,hobart,0,AU,1545861600,45,-42.88,147.33,18.0,4.1
2,bluff,0,AU,1545863749,46,-23.58,149.07,28.47,5.32
3,adzope,32,CI,1545863750,63,6.11,-3.86,27.1,4.17
4,mataura,64,NZ,1545863750,64,-46.19,168.86,15.07,6.27
5,kaitangata,48,NZ,1545863750,68,-46.28,169.85,14.87,6.97
6,vaini,0,IN,1545863750,89,15.34,74.49,17.67,0.97
7,busselton,92,AU,1545863751,100,-33.64,115.35,19.35,3.57
8,rikitea,76,PF,1545863751,97,-23.12,-134.97,26.3,6.37
9,jamestown,8,AU,1545863515,18,-33.21,138.6,37.42,4.62
10,faridpur,0,IN,1545863752,85,28.21,79.54,6.12,1.27
11,ilulissat,88,GL,1545861000,78,69.22,-51.1,-11.0,1.5
12,saint-philippe,90,CA,1545861600,73,45.36,-73.48,-4.0,4.1
13,magistralnyy,76,RU,1545863752,51,56.17,107.45,-35.23,1.57
14,sao borja,0,BR,1545863753,82,-28.66,-56.0,26.1,2.92
15,tasiilaq,92,GL,1545861000,92,65.61,-37.64,-2.0,1.5
16,chokurdakh,68,RU,1545863753,69,70.62,147.9,-26.23,4.87
17,taltal,0,CL,1545863754,76,-25.41,-70.49,18.1,1.17
18,lasa,40,CY,1545861600,58,34.92,32.53,15.0,4.1
19,hasaki,40,JP,1545861600,100,35.73,140.83,2.0,2.1
20,port alfred,68,ZA,1545863754,95,-33.59,26.89,21.82,2.57
21,loandjili,100,CG,1545863755,98,-4.77,11.87,25.32,1.77
22,tiksi,48,RU,1545863755,77,71.64,128.87,-27.56,2.92
23,alcaniz,24,ES,1545863755,86,41.05,-0.13,0.72,1.22
24,gamba,0,CN,1545863755,42,28.28,88.52,-18.06,3.42
25,tuatapere,76,NZ,1545863756,93,-46.13,167.69,13.35,4.72
26,noumea,90,NC,1545861600,83,-22.28,166.46,25.0,4.1
27,kiskunfelegyhaza,0,HU,1545862500,80,46.71,19.84,2.0,4.1
28,puerto cabezas,40,NI,1545861600,94,14.04,-83.39,28.0,3.1
29,ondjiva,76,AO,1545863757,88,-17.07,15.73,19.85,1.07
30,petropavlovsk-kamchatskiy,90,RU,1545861600,92,53.05,158.65,-8.0,1.0
31,kavaratti,0,IN,1545863757,100,10.57,72.64,28.32,1.02
32,pevek,48,RU,1545863757,100,69.7,170.27,-25.33,5.42
33,batu,20,ID,1545861600,88,-7.87,112.53,26.0,3.1
34,upernavik,0,GL,1545863758,100,72.79,-56.15,-12.58,10.87
35,iqaluit,90,CA,1545861600,70,63.75,-68.52,-19.0,10.8
36,nome,90,US,1545862500,90,30.04,-94.42,17.8,9.8
37,aquiraz,20,BR,1545861600,78,-3.9,-38.39,26.0,2.6
38,lazaro cardenas,40,MX,1545860580,18,28.39,-105.62,17.0,8.7
39,kruisfontein,0,ZA,1545863760,89,-34.0,24.73,18.82,3.72
40,burns lake,12,CA,1545863760,90,54.23,-125.76,-10.46,0.92
41,thinadhoo,0,MV,1545863760,100,0.53,72.93,27.72,3.12
42,cape town,75,ZA,1545861600,93,-33.93,18.42,19.0,1.5
43,qaanaaq,0,GL,1545863760,93,77.48,-69.36,-29.98,5.22
44,nyurba,36,RU,1545863761,42,63.29,118.35,-32.83,2.72
45,hermanus,92,ZA,1545863761,100,-34.42,19.24,16.22,1.52
46,jaromerice nad rokytnou,90,CZ,1545861600,93,49.09,15.89,2.0,4.6
47,itarema,36,BR,1545863762,87,-2.92,-39.92,25.35,5.02
48,kuzino,36,RU,1545863762,53,57.02,59.44,-13.81,4.57
49,lebu,0,ET,1545863762,75,8.96,38.73,0.77,1.12
50,ambovombe,0,MG,1545863763,96,-25.18,46.09,21.82,4.37
51,esperance,20,TT,1545861600,83,10.24,-61.45,26.0,4.1
52,srednekolymsk,32,RU,1545863763,72,67.46,153.71,-38.06,1.12
53,yulara,0,AU,1545858000,20,-25.24,130.99,23.0,2.6
54,praia da vitoria,40,PT,1545861600,93,38.73,-27.07,16.0,8.07
55,kisangani,32,CD,1545863764,96,0.52,25.21,23.2,1.02
56,georgetown,40,GY,1545861600,83,6.8,-58.16,28.0,5.1
57,kirakira,20,SB,1545863765,100,-10.46,161.92,27.8,0.97
58,saldanha,0,PT,1545863765,76,41.42,-6.55,-3.63,0.97
59,arraial do cabo,75,BR,1545858000,88,-22.97,-42.02,23.0,2.1
